,idx_2004,No_2004,Type_2004,State_2004,Winning Candidate_2004,Party_2004,Electors_2004,Votes_2004,Turnout_2004,Margin_2004,Margin %_2004,idx_2009,No_2009,Type_2009,State_2009,Winning Candidate_2009,Party_2009,Electors_2009,Votes_2009,Turnout_2009,Margin_2009,Margin %_2009,idx,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,idx_2019,No_2019,Type_2019,State_2019,Winning Candidate_2019,Party_2019,Electors_2019,Votes_2019,Turnout_2019,Margin_2019,Margin %_2019,idx_2024,No_2024,Type_2024,State_2024,Winning Candidate_2024,Party_2024,Electors_2024,Votes_2024,Turnout_2024,Margin_2024,Margin %_2024
Kurnool,304.0,26.0,GEN,Andhra Pradesh,Kotla Jayasurya Prakasha Reddy,Indian National Congress,"13,10,724","8,18,316",62.4 %,"1,01,098",12.4%,307.0,35.0,GEN,Andhra Pradesh,Kotla Jaya Surya Prakash Reddy,Indian National Congress,1307312.0,873551.0,66.8 %,73773.0,8.4%,307.0,35.0,GEN,Andhra Pradesh [2014 Onwards],Butta Renuka,Yuvajana Sramika Rythu Congress Party,1481807.0,1065732.0,71.9 %,44131.0,4.1%,306.0,18.0,,Andhra Pradesh [2014 Onwards],Ayushman Doctor Sanjeev Kumar,Yuvajana Sramika Rythu Congress Party,"13,54,509","11,83,035",87.9 %,"1,48,903",12.6%,308.0,18.0,,Andhra Pradesh [2014 Onwards],Bastipati Nagaraju Panchalingala,Telugu Desam,"17,22,857","13,30,780",77.2 %,"1,11,298",8.4%
Kurukshetra,305.0,2.0,GEN,Haryana,Naveen Jindal,Indian National Congress,"11,61,933","8,50,680",73.2 %,"1,60,190",18.8%,308.0,2.0,GEN,Haryana,Naveen Jindal,Indian National Congress,1166684.0,875415.0,75.0 %,118729.0,13.6%,308.0,2.0,GEN,Haryana,Raj Kumar Saini,Bharatiya Janta Party,1498459.0,1135892.0,75.8 %,129736.0,11.4%,307.0,2.0,GEN,Haryana,Nayab Singh,Bharatiya Janta Party,"15,79,115","12,30,202",78.1 %,"3,84,591",31.3%,309.0,2.0,GEN,Haryana,Naveen Jindal,Bharatiya Janta Party,"17,94,300","12,05,872",67.2 %,"29,021",2.4%
Kushi Nagar,,,,,,,,,,,,309.0,65.0,GEN,Uttar Pradesh [2000 Onwards],Ku. Ratanjeet Pratap Narayan Singh,Indian National Congress,1438263.0,731041.0,50.8 %,21094.0,2.9%,309.0,65.0,GEN,Uttar Pradesh [2000 Onwards],Rajesh Pandey Urf Guddu,Bharatiya Janta Party,1680992.0,950445.0,56.5 %,85540.0,9.0%,308.0,65.0,GEN,Uttar Pradesh [2000 Onwards],Vijay Kumar Dubey,Bharatiya Janta Party,"17,34,356","10,53,117",61.2 %,"3,37,560",32.1%,310.0,65.0,GEN,Uttar Pradesh [2000 Onwards],Vijay Kumar Dubay,Bharatiya Janta Party,"18,75,222","10,80,483",57.6 %,"81,790",7.6%
Kutch,306.0,1.0,SC,Gujarat,Gadhavi Pushpadan Shambhudan,Bharatiya Janta Party,"10,06,563","4,58,980",45.6 %,"28,990",6.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ladakh,307.0,4.0,GEN,Jammu & Kashmir,Thupstan Chhewang,Independent,"1,75,768","1,27,813",72.7 %,"25,713",20.1%,310.0,4.0,GEN,Jammu & Kashmir,Hassan Khan,Independent,152491.0,111013.0,72.8 %,3684.0,3.3%,310.0,4.0,GEN,Jammu & Kashmir,Thupstan Chhewang,Bharatiya Janta Party,166763.0,118029.0,70.8 %,36.0,0.0%,309.0,4.0,,Jammu & Kashmir,Jamyang Tsering Namgyal,Bharatiya Janta Party,"1,66,763","1,26,426",76.4 %,"10,930",8.6%,311.0,1.0,GEN,Ladakh,Mohmad Haneefa,Independent,"1,84,808","1,35,524",73.3 %,"27,862",20.6%
Lakhimpur,308.0,14.0,GEN,Assam,Dr. Arun Kumar Sarmah,Asom Gana Parisad,"11,26,632","8,00,101",71.0 %,"28,148",3.5%,311.0,14.0,GEN,Assam,Ranee Narah,Indian National Congress,1332518.0,909812.0,68.3 %,44572.0,4.9%,311.0,14.0,GEN,Assam,Sarbananda Sonowal,Bharatiya Janta Party,1430994.0,1111975.0,77.7 %,292138.0,26.3%,310.0,14.0,GEN,Assam,Pradan Baruah,Bharatiya Janta Party,"16,21,466","12,83,589",80.1 %,"3,50,551",27.3%,312.0,12.0,GEN,Assam,Pradan Baruah,Bharatiya Janta Party,"15,77,234","12,11,214",76.8 %,"2,01,257",16.6%
Lakshadweep,309.0,1.0,ST,Lakshadweep,Dr. P. Pookunhikoya,Janata Dal (United),"39,033","31,820",81.5 %,71,0.2%,312.0,1.0,ST,Lakshadweep,Hamdullah Sayeed,Indian National Congress,45983.0,39498.0,85.9 %,2198.0,5.6%,312.0,1.0,ST,Lakshadweep,Mohammed Faizal P.P.,Nationalist Congress Party,49922.0,43239.0,86.6 %,1535.0,3.6%,311.0,1.0,,Lakshadweep,Mohammed Faizal Pp,Nationalist Congress Party,"49,922","47,009",94.4 %,823,1.8%,313.0,1.0,,Lakshadweep,Muhammed Hamdullah Sayeed,Indian National Congress,"57,784","49,200",85.1 %,"2,647",5.4%
Lalganj,310.0,42.0,GEN,Uttar Pradesh [2000 Onwards],Daroga Prasad Saroj,Samajwadi Party,"15,58,349","7,63,526",49.0 %,"42,731",5.6%,313.0,68.0,SC,Uttar Pradesh [2000 Onwards],Dr. Baliram,Bahujan Samaj Party,1509536.0,659042.0,43.7 %,39948.0,6.1%,313.0,68.0,SC,Uttar Pradesh [2000 Onwards],Neelam Sonkar,Bharatiya Janta Party,1661483.0,898655.0,54.1 %,63086.0,7.0%,312.0,68.0,SC,Uttar Pradesh [2000 Onwards],Sangeeta Azad,Bahujan Samaj Party,"17,33,044","9,60,568",55.7 %,"1,61,597",16.8%,314.0,68.0,SC,Uttar Pradesh [2000 Onwards],Daroga Prasad Saroj,Samajwadi Party,"18,38,882","10,03,438",54.6 %,"1,15,023",11.5%
Latur,311.0,35.0,GEN,Maharashtra,Patil Rupatai Diliprao Nilangekar,Bharatiya Janta Party,"12,93,202","8,20,746",63.5 %,"30,891",3.8%,314.0,41.0,SC,Maharashtra,Awale Jaywant Gangaram,Indian National Congress,1509987.0,829585.0,54.9 %,7975.0,1.0%,314.0,41.0,SC,Maharashtra,Dr. Sunil Baliram Gaikwad,Bharatiya Janta Party,1682607.0,1057156.0,62.8 %,253395.0,24.0%,313.0,41.0,SC,Maharashtra,Sudhakar Tukaram Shrangare,Bharatiya Janta Party,"18,02,702","11,76,542",65.6 %,"2,89,111",24.6%,315.0,41.0,SC,Maharashtra,Dr. Kalge Shivaji Bandappa,Indian National Congress,"19,77,042","12,39,079",62.7 %,"61,881",5.0%
Lohardaga,312.0,12.0,ST,Jharkhand,Rameshwar Oraon,Indian National Congress,"9,06,666","4,67,336",51.5 %,"90,255",19.3%,315.0,12.0,ST,Jharkhand,Sudarshan Bhagat,Bharatiya Janta Party,981666.0,522402.0,53.2 %,8283.0,1.6%,315.0,12.0,ST,Jharkhand,Sudarshan Bhagat,Bharatiya Janta Party,1119144.0,651460.0,58.2 %,6489.0,1.0%,314.0,12.0,ST,Jharkhand,Sudarshan Bhagat,Bharatiya Janta Party,"11,87,646","8,17,550",69.8 %,"10,363",1.3%,316.0,12.0,ST,Jharkhand,Sukhdeo Bhagat,Indian National Congress,"14,41,302","9,67,125",67.1 %,"1,39,138",14.4%
Lucknow,313.0,16.0,SC,Uttar Pradesh [2000 Onwards],Atal Bihari Vajpayee,Bharatiya Janta Party,"16,39,922","5,78,501",35.3 %,"2,18,375",37.7%,316.0,35.0,GEN,Uttar Pradesh [2000 Onwards],Lal Ji Tandon,Bharatiya Janta Party,1653123.0,587772.0,35.6 %,40901.0,7.0%,316.0,35.0,GEN,Uttar Pradesh [2000 Onwards],Raj Nath Singh,Bharatiya Janta Party,1949956.0,1033783.0,53.0 %,272749.0,26.4%,315.0,35.0,GEN,Uttar Pradesh [2000 Onwards],Rajnath Singh,Bharatiya Janta Party,"19,39,448","11,16,445",58.0 %,"3,47,302",31.1%,317.0,35.0,GEN,Uttar Pradesh [2000 Onwards],Raj Nath Singh,Bharatiya Janta Party,"21,72,171","11,36,892",52.3 %,"1,35,159",11.9%
Ludhiana,314.0,9.0,SC,Punjab,Sharanjit Singh Dhillon,Shiromani Akali Dal,"15,60,468","8,69,922",55.8 %,"29,540",3.4%,317.0,7.0,GEN,Punjab,Manish Tewari,Indian National Congress,1309308.0,846277.0,64.6 %,113706.0,13.4%,317.0,7.0,GEN,Punjab,Ravneet Singh Bittu,Indian National Congress,1561201.0,1100457.0,70.5 %,19709.0,1.8%,316.0,7.0,GEN,Punjab,Ravneet Singh Bittu,Indian National Congress,"16,41,976","10,46,955",64.4 %,"76,372",7.3%,318.0,7.0,GEN,Punjab,Amrinder Singh Raja Warring,Indian National Congress,"17,58,614","10,59,157",60.2 %,"20,942",2.0%
Machhlishahr,315.0,43.0,GEN,Uttar Pradesh [2000 Onwards],Umakant Yadav,Bahujan Samaj Party,"14,74,056","6,76,977",45.9 %,"55,382",8.2%,318.0,74.0,SC,Uttar Pradesh [2000 Onwards],Tufani Saroj,Samajwadi Party,1751074.0,717824.0,41.0 %,24306.0,3.4%,318.0,74.0,SC,Uttar Pradesh [2000 Onwards],Ram Charitra Nishad,Bharatiya Janta Party,1891969.0,997902.0,52.7 %,172155.0,17.3%,317.0,74.0,SC,Uttar Pradesh [2000 Onwards],Bholanath (B.P. Saroj),Bharatiya Janta Party,"17,77,073","10,34,925",58.9 %,181,0.0%,319.0,74.0,SC,Uttar Pradesh [2000 Onwards],Priya Saroj,Samajwadi Party,"19,40,605","10,60,063",54.6 %,"35,850",3.4%
Machilipatnam,316.0,12.0,GEN,Andhra Pradesh,Badiga Ramakrishna,Indian National Congress,"9,93,370","7,52,413",75.7 %,"50,341",6.7%,319.0,28.0,GEN,Andhra Pradesh,Konakalla Narayana Rao,Telugu Desam,1251053.0,1052352.0,84.1 %,12456.0,1.2%,319.0,28.0,GEN,Andhra Pradesh [2014 Onwards],Konakalla Narayana Rao,Telugu Desam,1369311.0,1141065.0,83.3 %,81057.0,7.1%,318.0,11.0,,Andhra Pradesh [2014 Onwards],Balashowry Vallabhaneni,Yuvajana Sramika Rythu Congress Party,"12,96,361","12,44,570",97.1 %,"60,238",4.8%,320.0,11.0,,Andhra Pradesh [2014 Onwards],Balashowry Vallabhaneni,Janasena Party,"15,39,460","13,12,004",85.2 %,"2,23,179",17.0%
Madha,,,,,,,,,,,,320.0,43.0,GEN,Maharashtra,Pawar Sharadchandra Govindrao,Nationalist Congress Party,1558442.0,919449.0,59.0 %,314459.0,34.2%,320.0,43.0,GEN,Maharashtra,Mohite Patil Vijaysinh Shankarrao,Nationalist Congress Party,1727308.0,1079619.0,62.5 %,25344.0,2.3%,319.0,43.0,GEN,Maharashtra,Ranjeetsinha Hindurao Naik- Nimbalkar,Bharatiya Janta Party,"18,25,200","12,16,319",66.8 %,"85,764",7.1%,321.0,43.0,GEN,Maharashtra,Mohite-Patil Dhairyasheel Rajsinh,Nationalist Congress Party – Sharadchandra Pawar,"19,91,454","12,73,418",63.9 %,"1,20,837",9.5%
Madhepura,317.0,21.0,SC,Bihar [2000 Onwards],Lalu Prasad,Rashtriya Janata Dal,"11,87,490","6,95,657",58.6 %,"69,987",10.1%,321.0,13.0,GEN,Bihar [2000 Onwards],Sharad Yadav,Janata Dal (United),1508361.0,756468.0,50.2 %,177621.0,23.5%,321.0,13.0,GEN,Bihar [2000 Onwards],Rajesh Ranjan @ Pappu Yadav,Rashtriya Janata Dal,1725578.0,1034799.0,60.0 %,56209.0,5.4%,320.0,13.0,GEN,Bihar [2000 Onwards],Dinesh Chandra Yadav,Janata Dal (United),"18,74,003","11,47,274",63.3 %,"3,01,527",26.3%,322.0,13.0,GEN,Bihar [2000 Onwards],Dinesh Chandra Yadav,Janata Dal (United),"20,71,166","12,09,695",58.4 %,"1,74,534",14.4%
Madhubani,318.0,13.0,GEN,Bihar [2000 Onwards],Dr. Shakeel Ahmad,Indian National Congress,"12,57,633","6,95,136",55.3 %,"87,079",12.5%,322.0,6.0,GEN,Bihar [2000 Onwards],Hukmadeo Narayan Yadav,Bharatiya Janta Party,1397256.0,556572.0,39.8 %,9927.0,1.8%,322.0,6.0,GEN,Bihar [2000 Onwards],Hukm Deo Narayan Yadav,Bharatiya Janta Party,1627969.0,860453.0,52.9 %,20535.0,2.4%,321.0,6.0,GEN,Bihar [2000 Onwards],Ashok Kumar Yadav,Bharatiya Janta Party,"17,80,846","9,63,708",54.4 %,"4,54,940",47.2%,323.0,6.0,GEN,Bihar [2000 Onwards],Ashok Kumar Yadav,Bharatiya Janta Party,"19,34,980","10,27,728",53.1 %,"1,51,945",14.8%
Madras Central,319.0,2.0,GEN,Tamil Nadu,Dayanidhi Maran,Dravida Munetra Kazhagam,"10,45,260","5,12,784",49.1 %,"1,34,178",26.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madras North,320.0,1.0,SC,Tamil Nadu,Kuppusami. C,Dravida Munetra Kazhagam,"20,00,866","9,15,786",45.8 %,"2,53,539",27.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madras South,321.0,3.0,GEN,Tamil Nadu,"Baalu, T. R.",Dravida Munetra Kazhagam,"19,49,904","9,34,936",48.0 %,"2,20,740",23.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madurai,322.0,24.0,GEN,Tamil Nadu,"Mohan, P.",Communist Party Of India (MARXIST),"13,44,023","7,38,136",54.9 %,"1,32,840",18.0%,323.0,32.0,GEN,Tamil Nadu,Alagiri M.K,Dravida Munetra Kazhagam,1022421.0,792011.0,77.5 %,140985.0,17.8%,323.0,32.0,GEN,Tamil Nadu,R.Gopalakrishnan,All India Anna Dravida Munnetra Kazhagam,1441434.0,978346.0,67.9 %,197436.0,20.2%,322.0,32.0,GEN,Tamil Nadu,Venkatesan S,Communist Party Of India (Marxist),"15,21,452","10,16,026",67.8 %,"1,39,395",13.7%,324.0,32.0,GEN,Tamil Nadu,Venkatesan S,Communist Party Of India (Marxist),"15,82,271","9,86,969",62.4 %,"2,09,409",21.2%
Mahabubabad,,,,,,,,,,,,324.0,16.0,ST,Andhra Pradesh,P. Balram,Indian National Congress,1265396.0,996860.0,78.8 %,68957.0,6.9%,324.0,16.0,ST,Telangana,Prof. Azmeera Seetaram Naik,Telangana Rashtra Samithi,1387343.0,1124370.0,81.0 %,34992.0,3.1%,323.0,16.0,ST,Telangana,Kavitha Malothu,Telangana Rashtra Samithi,"13,36,286","9,83,535",74.7 %,"1,46,663",14.9%,325.0,16.0,ST,Telangana,Balram Naik Porika,Indian National Congress,"15,32,366","11,08,786",72.4 %,"3,49,165",31.5%
Mahasamund,326.0,7.0,GEN,Chhattisgarh,Ajit  Jogi,Indian National Congress,"11,69,419","7,70,599",65.9 %,"1,18,505",15.4%,327.0,9.0,GEN,Chhattisgarh,Chandulal Sahu (Chandu Bhaiya),Bharatiya Janta Party,1369154.0,776337.0,56.7 %,51475.0,6.6%,327.0,9.0,GEN,Chhattisgarh,Chandu Lal Sahu (CHANDU BHAIYA),Bharatiya Janta Party,1515747.0,1131209.0,74.6 %,1217.0,0.1%,326.0,9.0,GEN,Chhattisgarh,Chunni Lal Sahu,Bharatiya Janta Party,"16,13,418","12,22,335",77.1 %,"90,511",7.4%,328.0,9.0,GEN,Chhattisgarh,Roop Kumari Choudhary,Bharatiya Janta Party,"17,62,477","13,26,080",75.2 %,"1,45,456",11.0%
Mahendragarh,327.0,7.0,GEN,Haryana,Inderjit Singh,Indian National Congress,"14,29,015","8,48,852",59.4 %,"2,10,341",24.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahesana,,,,,,,,,,,,329.0,4.0,GEN,Gujarat,Patel Jayshreeben Kanubhai,Bharatiya Janta Party,1393970.0,692685.0,49.7 %,21865.0,3.2%,329.0,4.0,GEN,Gujarat,Patel Jayshreeben Kanubhai,Bharatiya Janta Party,1498219.0,1004258.0,67.0 %,208891.0,20.8%,328.0,4.0,GEN,Gujarat,Shardaben Anilbhai Patel,Bharatiya Janta Party,"16,07,923","10,81,938",68.0 %,"2,81,519",26.0%,330.0,4.0,GEN,Gujarat,Haribhai Patel,Bharatiya Janta Party,"17,70,617","10,76,827",60.8 %,"3,28,046",30.5%
Mainpuri,328.0,65.0,GEN,Uttar Pradesh [2000 Onwards],Mulayam Singh Yadav,Samajwadi Party,"12,11,002","7,19,797",59.4 %,"3,37,870",46.9%,330.0,21.0,GEN,Uttar Pradesh [2000 Onwards],Mulayam Singh Yadav,Samajwadi Party,1399259.0,696701.0,49.8 %,173069.0,24.8%,330.0,21.0,GEN,Uttar Pradesh [2000 Onwards],Mulayam Singh Yadav,Samajwadi Party,1653065.0,999265.0,60.5 %,364666.0,36.5%,329.0,21.0,GEN,Uttar Pradesh [2000 Onwards],Mulayam Singh Yadav,Samajwadi Party,"16,81,508","9,76,518",58.5 %,"94,389",9.7%,331.0,21.0,GEN,Uttar Pradesh [2000 Onwards],Dimple Yadav,Samajwadi Party,"17,90,797","10,54,011",58.9 %,"2,21,639",21.0%
Malappuram,,,,,,,,,,,,331.0,6.0,GEN,Kerala,E. Ahamed,Muslim League Kerala State Committee,1019713.0,784713.0,77.0 %,115597.0,14.7%,331.0,6.0,GEN,Kerala,E. Ahamed,Indian Union Muslim League,1198444.0,853467.0,71.2 %,194739.0,22.8%,330.0,6.0,GEN,Kerala,P.K. Kunhalikutty,Indian Union Muslim League,"13,06,617","10,34,618",79.5 %,"2,60,153",25.1%,332.0,6.0,GEN,Kerala,E.T. Mohammed Basheer,Indian Union Muslim League,"14,79,921","10,85,182",73.3 %,"3,00,118",27.7%
Maldaha Uttar,,,,,,,,,,,,333.0,7.0,GEN,West Bengal,Mausam Noor,Indian National Congress,1101096.0,922537.0,83.8 %,60141.0,6.5%,333.0,7.0,GEN,West Bengal,Mausam Noor,Indian National Congress,1425428.0,1162985.0,81.6 %,65705.0,5.6%,332.0,7.0,GEN,West Bengal,Khagen Murmu,Bharatiya Janta Party,"15,69,035","13,54,706",86.9 %,"84,288",6.2%,334.0,7.0,GEN,West Bengal,Khagen Murmu,Bharatiya Janta Party,"18,62,035","14,17,589",76.1 %,"77,708",5.5%
Malegaon,330.0,13.0,GEN,Maharashtra,Harischandra Devram Chavan,Bharatiya Janta Party,"12,22,363","5,90,436",48.3 %,"4,528",0.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malkajgiri,,,,,,,,,,,,334.0,7.0,GEN,Andhra Pradesh,Sarvey Sathyanarayana,Indian National Congress,2343050.0,1205858.0,51.5 %,93326.0,7.7%,334.0,7.0,GEN,Telangana,Ch.Malla Reddy,Telugu Desam,3183325.0,1620397.0,50.9 %,28371.0,1.8%,333.0,7.0,GEN,Telangana,Anumula Revanth Reddy,Indian National Congress,"29,58,564","15,63,063",53.4 %,"10,919",0.7%,335.0,7.0,GEN,Telangana,Eatala Rajender,Bharatiya Janta Party,"37,79,596","19,33,843",51.2 %,"3,91,475",20.2%
Mandi,331.0,2.0,GEN,Himachal Pradesh,Pratibha Singh,Indian National Congress,"10,65,083","6,65,196",62.5 %,"66,566",10.0%,335.0,2.0,GEN,Himachal Pradesh,Virbhadra Singh,Indian National Congress,1112524.0,713687.0,64.2 %,13997.0,2.0%,335.0,2.0,GEN,Himachal Pradesh,Ram Swaroop Sharma,Bharatiya Janta Party,1150408.0,726094.0,63.1 %,39856.0,5.5%,334.0,2.0,GEN,Himachal Pradesh,Ram Swaroop Sharma,Bharatiya Janta Party,"11,50,408","9,41,371",82.3 %,"4,05,459",43.1%,336.0,2.0,GEN,Himachal Pradesh,Kangna Ranaut,Bharatiya Janta Party,"13,64,060","10,15,810",74.5 %,"74,755",7.4%
Mandla,332.0,13.0,GEN,Madhya Pradesh [2000 Onwards],Faggan Singh Kulaste,Bharatiya Janta Party,"10,95,134","5,88,178",53.7 %,"64,897",11.0%,336.0,14.0,ST,Madhya Pradesh [2000 Onwards],Basori Singh Masram,Indian National Congress,1528061.0,860093.0,56.3 %,65053.0,7.6%,336.0,14.0,ST,Madhya Pradesh [2000 Onwards],Faggan Singh Kulaste,Bharatiya Janta Party,1824424.0,1218518.0,66.8 %,110469.0,9.1%,335.0,14.0,ST,Madhya Pradesh [2000 Onwards],Faggan Singh Kulaste,Bharatiya Janta Party,"19,01,547","15,17,255",81.5 %,"97,674",6.4%,337.0,14.0,ST,Madhya Pradesh [2000 Onwards],Faggan Singh Kulaste,Bharatiya Janta Party,"21,01,811","15,35,632",73.1 %,"1,03,846",6.8%
Mandvi,334.0,25.0,GEN,Gujarat,Chaudhary Tusharbhai Amarsinhbhai,Indian National Congress,"11,49,161","6,44,719",56.1 %,"1,73,382",26.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandya,335.0,14.0,GEN,Karnataka,Ambareesh M. H.,Indian National Congress,"11,98,750","8,56,067",71.4 %,"1,24,438",14.5%,338.0,20.0,GEN,Karnataka,N Cheluvaraya Swamy @ Swamygowda,Janata Dal (Secular),1499744.0,1031797.0,68.8 %,23500.0,2.3%,338.0,20.0,GEN,Karnataka,C.S.Puttaraju,Janata Dal (Secular),1669262.0,1192638.0,71.5 %,5518.0,0.5%,337.0,20.0,GEN,Karnataka,Sumalatha Ambareesh,Independent,"16,84,216","13,79,210",82.1 %,"1,25,876",9.1%,339.0,20.0,GEN,Karnataka,H.D. Kumaraswamy,Janata Dal (Secular),"17,79,243","14,60,267",82.1 %,"2,84,620",19.5%
Mangaldoi,336.0,8.0,GEN,Assam,Narayan Chandra Borkataky,Bharatiya Janta Party,"12,09,839","8,48,741",70.2 %,"29,866",3.5%,339.0,8.0,GEN,Assam,Ramen Deka,Bharatiya Janta Party,1416682.0,988448.0,69.8 %,55849.0,5.7%,339.0,8.0,GEN,Assam,Ramen Deka,Bharatiya Janta Party,1515676.0,1233237.0,81.4 %,22884.0,1.9%,338.0,8.0,GEN,Assam,Dilip Saikia,Bharatiya Janta Party,"17,23,812","15,06,107",88.4 %,"1,38,545",9.2%,,,,,,,,,,,
Mangalore,337.0,17.0,GEN,Karnataka,D. V. Sadananda Gowda,Bharatiya Janta Party,"11,01,484","7,90,204",71.7 %,"33,415",4.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manjeri,338.0,5.0,GEN,Kerala,T. K. Hamza,Communist Party Of India (MARXIST),"12,62,202","9,04,535",71.7 %,"47,743",5.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathura,339.0,70.0,GEN,Uttar Pradesh [2000 Onwards],Manvendra Singh,Indian National Congress,"12,77,346","6,01,855",47.1 %,"38,132",6.3%,340.0,17.0,GEN,Uttar Pradesh [2000 Onwards],Jayant Chaudhary,Rashtriya Lok Dal,1341649.0,726769.0,54.2 %,169613.0,23.3%,340.0,17.0,GEN,Uttar Pradesh [2000 Onwards],Hema Malini,Bharatiya Janta Party,1682260.0,1076868.0,64.0 %,330743.0,30.7%,339.0,17.0,GEN,Uttar Pradesh [2000 Onwards],Hema Malini,Bharatiya Janta Party,"17,48,275","11,02,731",63.4 %,"2,93,471",26.6%,340.0,17.0,GEN,Uttar Pradesh [2000 Onwards],Hemamalini Dharmendra Deol,Bharatiya Janta Party,"19,29,550","9,57,046",49.6 %,"2,93,407",30.7%
Mathurapur,340.0,16.0,GEN,West Bengal,Basudeb Barman,Communist Party Of India (MARXIST),"11,13,351","9,05,415",81.3 %,"82,028",9.1%,341.0,20.0,SC,West Bengal,Choudhury Mohan Jatua,All India Trinamool Congress,1227376.0,1049016.0,85.5 %,129963.0,12.4%,341.0,20.0,SC,West Bengal,Choudhury Mohan Jatua,All India Trinamool Congress,1488784.0,1265531.0,85.0 %,138436.0,10.9%,340.0,20.0,SC,West Bengal,Choudhury Mohan Jatua,All India Trinamool Congress,"18,10,407","14,01,953",77.8 %,"2,03,974",14.5%,341.0,20.0,SC,West Bengal,Bapi Haldar,All India Trinamool Congress,"18,17,068","14,96,024",82.0 %,"2,01,057",13.4%
Maval,,,,,,,,,,,,342.0,33.0,GEN,Maharashtra,Babar Gajanan Dharmshi,Shiv Sena,1604886.0,718520.0,44.8 %,80619.0,11.2%,342.0,33.0,GEN,Maharashtra,Appa Alias Shrirang Chandu Barne,Shiv Sena,1953741.0,1174335.0,60.1 %,157397.0,13.4%,341.0,33.0,GEN,Maharashtra,Shrirang Appa Chandu Barne,Shiv Sena,"21,75,681","13,68,872",63.6 %,"2,15,913",15.8%,342.0,33.0,GEN,Maharashtra,Shrirang Appa Chandu Barne,Shiv Sena,"25,85,018","14,19,401",54.9 %,"96,615",6.8%
Mayurbhanj,343.0,1.0,GEN,Orissa,Sudam Marndi,Jharkhand Mukti Morcha,"9,90,544","6,95,815",70.3 %,"7,972",1.1%,345.0,5.0,ST,Orissa,Laxman Tudu,Biju Janata Dal,1173650.0,825506.0,70.3 %,66178.0,8.0%,345.0,5.0,ST,Orissa,Rama Chandra Hansdah,Biju Janata Dal,1327555.0,1053399.0,79.4 %,122866.0,11.7%,344.0,5.0,ST,Orissa,Bishweswar Tudu,Bharatiya Janta Party,"14,37,970","11,50,357",81.5 %,"25,256",2.2%,345.0,5.0,ST,Orissa,Naba Charan Majhi,Bharatiya Janta Party,"15,42,927","11,74,050",76.1 %,"2,19,334",18.7%
Medak,344.0,33.0,GEN,Andhra Pradesh,A. Narendra,Telangana Rashtra Samithi,"12,59,126","8,99,374",71.4 %,"1,23,766",13.8%,346.0,6.0,GEN,Andhra Pradesh,Vijaya Shanthi .M,Telangana Rashtra Samithi,1389721.0,1062584.0,76.5 %,6077.0,0.6%,346.0,6.0,GEN,Telangana,Kalvakuntla Chandrasekhar Rao,Telangana Rashtra Samithi,1536715.0,1191096.0,77.5 %,397029.0,33.3%,345.0,6.0,GEN,Telangana,Kotha Prabhakar Reddy,Telangana Rashtra Samithi,"15,14,728","11,50,223",77.0 %,"3,16,427",27.5%,346.0,6.0,GEN,Telangana,Madhavaneni Raghunandan Rao,Bharatiya Janta Party,"18,28,210","13,86,239",75.8 %,"39,139",2.8%
Medinipur,,,,,,,,,,,,347.0,34.0,GEN,West Bengal,Prabodh Panda,Communist Party Of India,1262983.0,1043731.0,82.6 %,48017.0,4.6%,347.0,34.0,GEN,West Bengal,Sandhya Roy,All India Trinamool Congress,1499673.0,1260032.0,84.0 %,184666.0,14.7%,346.0,34.0,GEN,West Bengal,Dilip Ghosh,Bharatiya Janta Party,"18,15,330","14,09,815",78.5 %,"88,952",6.3%,347.0,34.0,GEN,West Bengal,June Maliah,All India Trinamool Congress,"18,11,243","14,81,563",81.8 %,"27,191",1.8%
